epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
46,1567.39,1.19101,1.54409,0.00439,0.16488,0.25063,0.09973,0.02213,2.79036,2.70909,0.02441,0.0011719,0.0011719,0.0011719
47,1601.43,1.20036,1.58139,0.00453,0.29868,0.39393,0.27422,0.07146,2.39598,2.47361,0.0196,0.0011609,0.0011609,0.0011609
48,1635.63,1.2168,1.52653,0.00437,0.18701,0.27885,0.13322,0.02972,2.83747,2.75238,0.02481,0.0011499,0.0011499,0.0011499
49,1669.65,1.21729,1.55192,0.00459,0.19816,0.36055,0.16821,0.04341,2.66844,2.50587,0.02344,0.00113889,0.00113889,0.00113889
50,1703.67,1.20246,1.52025,0.00459,0.20803,0.32775,0.16443,0.04245,2.54887,2.52893,0.02222,0.00112789,0.00112789,0.00112789
51,1737.75,1.18251,1.52275,0.00442,0.2161,0.23112,0.11659,0.02817,2.83597,2.88778,0.02469,0.00111689,0.00111689,0.00111689
52,1771.84,1.20485,1.51081,0.00446,0.19485,0.27331,0.12432,0.02793,2.69686,2.71352,0.02424,0.00110589,0.00110589,0.00110589
53,1805.88,1.18955,1.51587,0.00447,0.18434,0.23085,0.11298,0.02416,2.90058,2.65854,0.0269,0.00109489,0.00109489,0.00109489
54,1839.98,1.24827,1.48633,0.00462,0.22093,0.2969,0.13969,0.03233,2.70458,2.77009,0.02433,0.00108388,0.00108388,0.00108388
55,1874.08,1.17585,1.45712,0.00432,0.15122,0.27249,0.08546,0.01896,2.91291,2.70524,0.0267,0.00107288,0.00107288,0.00107288
56,1908.16,1.18621,1.46305,0.0044,0.21798,0.31434,0.17345,0.04273,2.55302,2.62997,0.02288,0.00106188,0.00106188,0.00106188
57,1942.26,1.14484,1.44856,0.00414,0.22249,0.27561,0.14096,0.03213,2.75499,2.71344,0.02387,0.00105088,0.00105088,0.00105088
58,1976.38,1.12994,1.4763,0.00406,0.18398,0.20953,0.10467,0.02294,2.69222,3.0643,0.02192,0.00103987,0.00103987,0.00103987
59,2010.46,1.16214,1.45767,0.00432,0.24201,0.35407,0.1848,0.04345,2.53178,2.7693,0.0218,0.00102887,0.00102887,0.00102887
60,2044.55,1.14195,1.4466,0.00423,0.23959,0.32984,0.19721,0.04452,2.63754,2.59352,0.02233,0.00101787,0.00101787,0.00101787
61,2078.61,1.11477,1.40183,0.00411,0.23586,0.37478,0.19163,0.05063,2.50373,2.46241,0.02281,0.00100687,0.00100687,0.00100687
62,2112.79,1.12132,1.38525,0.00404,0.23026,0.36873,0.17185,0.03706,2.5872,2.75546,0.02327,0.000995866,0.000995866,0.000995866
63,2146.93,1.13452,1.41615,0.00411,0.19552,0.33144,0.13536,0.02947,2.73332,2.86781,0.02518,0.000984864,0.000984864,0.000984864
64,2181,1.13159,1.39625,0.00417,0.21214,0.27711,0.14446,0.03375,2.67497,2.69923,0.02475,0.000973861,0.000973861,0.000973861
65,2215.07,1.07893,1.35901,0.00395,0.29071,0.30147,0.21501,0.05,2.54089,2.61329,0.02187,0.000962859,0.000962859,0.000962859
66,2249.2,1.14396,1.36888,0.00407,0.24505,0.34155,0.19269,0.04079,2.7058,2.49641,0.02344,0.000951857,0.000951857,0.000951857
67,2283.39,1.16205,1.33784,0.00414,0.1925,0.30781,0.12992,0.02739,2.6656,2.85986,0.02419,0.000940855,0.000940855,0.000940855
68,2317.53,1.09601,1.35018,0.0039,0.14216,0.261,0.0914,0.01945,2.72493,2.91516,0.02529,0.000929853,0.000929853,0.000929853
69,2351.64,1.05396,1.32969,0.00377,0.24201,0.27784,0.169,0.03689,2.78565,2.48516,0.02534,0.00091885,0.00091885,0.00091885
70,2385.78,1.09001,1.32229,0.00392,0.20139,0.25319,0.14319,0.03032,2.80597,2.60867,0.02601,0.000907848,0.000907848,0.000907848
71,2419.91,1.08851,1.30687,0.00386,0.22317,0.32833,0.15155,0.03301,2.64752,2.66657,0.02432,0.000896846,0.000896846,0.000896846
72,2454.04,1.08997,1.27099,0.00391,0.29006,0.31623,0.21171,0.05003,2.63738,2.69602,0.02303,0.000885844,0.000885844,0.000885844
73,2488.09,1.08621,1.30587,0.00394,0.21261,0.30067,0.15793,0.0358,2.73294,2.42987,0.02365,0.000874842,0.000874842,0.000874842
74,2522.2,1.05914,1.2981,0.00374,0.21602,0.25448,0.14847,0.03129,2.53985,2.81336,0.02244,0.000863839,0.000863839,0.000863839
75,2556.27,1.08086,1.28323,0.0039,0.17677,0.24486,0.12313,0.02518,2.91736,2.60218,0.02698,0.000852837,0.000852837,0.000852837
76,2590.41,1.07607,1.26604,0.00383,0.20621,0.222,0.13168,0.02912,2.75567,2.83779,0.02512,0.000841835,0.000841835,0.000841835
77,2624.55,1.06253,1.26786,0.00384,0.20512,0.22937,0.12871,0.02681,2.73579,2.79363,0.02483,0.000830833,0.000830833,0.000830833
