epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5376,2.67719,4.1573,0.01202,0.0201,0.58426,0.04332,0.00734,2.75554,3.87235,0.02407,0.000550522,0.000550522,0.000550522
2,69.9849,1.95554,3.41004,0.00783,0.04,0.18246,0.03136,0.00716,2.43095,3.91056,0.02292,0.00109889,0.00109889,0.00109889
3,103.912,1.81723,3.22788,0.00715,0.03208,0.85321,0.08606,0.02148,1.86275,3.65152,0.01416,0.00163992,0.00163992,0.00163992
4,138.001,1.78736,2.94704,0.0066,0.02453,0.72336,0.05051,0.01229,2.09618,3.64588,0.01504,0.00163399,0.00163399,0.00163399
5,172.011,1.64759,2.80382,0.00615,0.02776,0.77128,0.05524,0.01587,1.92354,3.28746,0.01301,0.00162299,0.00162299,0.00162299
6,205.96,1.64117,2.68055,0.00612,0.03935,0.67832,0.06493,0.01567,2.29547,3.11418,0.01579,0.00161199,0.00161199,0.00161199
7,239.827,1.56539,2.49589,0.00595,0.06951,0.57474,0.08168,0.02402,2.09879,3.01668,0.01385,0.00160099,0.00160099,0.00160099
8,273.731,1.52858,2.43235,0.00566,0.04333,0.58912,0.05196,0.01246,2.1566,3.43136,0.01607,0.00158998,0.00158998,0.00158998
9,307.695,1.56047,2.30371,0.00567,0.03851,0.88384,0.09164,0.0269,2.18008,2.8124,0.01618,0.00157898,0.00157898,0.00157898
10,341.606,1.57337,2.16261,0.00595,0.12139,0.50628,0.10697,0.02886,2.26158,2.86323,0.01589,0.00156798,0.00156798,0.00156798
11,375.516,1.64245,2.20971,0.00613,0.0377,0.78563,0.08307,0.02101,2.16373,3.19207,0.01497,0.00155698,0.00155698,0.00155698
12,409.379,1.5351,2.19017,0.00587,0.09807,0.49782,0.09033,0.02469,2.40841,2.78486,0.01782,0.00154598,0.00154598,0.00154598
13,443.329,1.55388,2.06088,0.00582,0.11483,0.33258,0.09776,0.02252,2.49613,3.0469,0.01896,0.00153497,0.00153497,0.00153497
14,477.201,1.45408,2.02414,0.00541,0.09203,0.32555,0.06868,0.01425,2.2854,3.27934,0.01681,0.00152397,0.00152397,0.00152397
15,511.18,1.48657,1.99134,0.0055,0.10714,0.5155,0.11193,0.03171,2.31202,2.94787,0.01585,0.00151297,0.00151297,0.00151297
16,545.147,1.48816,1.98055,0.00548,0.10078,0.35944,0.08898,0.0258,2.02347,2.9712,0.01439,0.00150197,0.00150197,0.00150197
17,579.064,1.42932,1.95742,0.00543,0.14741,0.44355,0.1311,0.03668,2.33227,2.78006,0.01738,0.00149096,0.00149096,0.00149096
18,613.017,1.41588,1.87016,0.00519,0.08189,0.48574,0.06587,0.0145,2.06677,3.18057,0.01543,0.00147996,0.00147996,0.00147996
19,647.106,1.38296,1.82309,0.00508,0.12714,0.40111,0.10577,0.03158,2.23187,2.83007,0.017,0.00146896,0.00146896,0.00146896
20,681.211,1.4484,1.86146,0.00541,0.11941,0.42686,0.10219,0.02776,2.26786,3.00057,0.01837,0.00145796,0.00145796,0.00145796
21,715.241,1.40259,1.85049,0.00539,0.12799,0.31942,0.09129,0.0246,2.44151,3.03493,0.02124,0.00144696,0.00144696,0.00144696
22,749.391,1.39091,1.82952,0.00515,0.18982,0.42246,0.17688,0.04968,2.3136,2.66196,0.01894,0.00143595,0.00143595,0.00143595
23,783.487,1.33018,1.78109,0.00499,0.16109,0.36746,0.14069,0.03627,2.35548,2.86221,0.01931,0.00142495,0.00142495,0.00142495
24,817.604,1.357,1.78563,0.00504,0.17923,0.50638,0.17516,0.05189,2.00501,2.47878,0.01601,0.00141395,0.00141395,0.00141395
25,851.763,1.37194,1.74765,0.00494,0.14937,0.41993,0.12717,0.03138,2.41091,2.7662,0.0196,0.00140295,0.00140295,0.00140295
26,885.897,1.3799,1.74309,0.00514,0.11888,0.29754,0.08903,0.02189,2.43692,3.07861,0.02214,0.00139195,0.00139195,0.00139195
27,919.993,1.41399,1.74676,0.00529,0.10777,0.30953,0.07752,0.01588,2.49057,3.11069,0.02247,0.00138094,0.00138094,0.00138094
28,953.969,1.32767,1.73919,0.00507,0.20601,0.39716,0.17086,0.03778,2.56452,2.7284,0.02144,0.00136994,0.00136994,0.00136994
29,988.051,1.31465,1.69987,0.00485,0.20958,0.32663,0.19097,0.04612,2.38865,2.67005,0.02123,0.00135894,0.00135894,0.00135894
30,1022.06,1.31066,1.69035,0.005,0.18454,0.32755,0.14323,0.03396,2.48008,2.76456,0.02224,0.00134794,0.00134794,0.00134794
31,1056.22,1.24622,1.67372,0.00449,0.17326,0.38255,0.12745,0.03725,2.50039,2.76836,0.02164,0.00133693,0.00133693,0.00133693
32,1090.36,1.27029,1.68649,0.00458,0.11266,0.18059,0.06302,0.01302,2.47062,3.43602,0.02146,0.00132593,0.00132593,0.00132593
33,1124.45,1.28173,1.7002,0.00481,0.1867,0.28211,0.13241,0.03896,2.29521,2.82267,0.01857,0.00131493,0.00131493,0.00131493
34,1158.56,1.26828,1.68366,0.00471,0.21238,0.40097,0.18872,0.05681,2.06054,2.69778,0.01595,0.00130393,0.00130393,0.00130393
35,1192.71,1.28518,1.66243,0.00484,0.24355,0.37199,0.22475,0.0652,2.20439,2.5288,0.01802,0.00129293,0.00129293,0.00129293
36,1226.74,1.23803,1.65897,0.00466,0.1691,0.31539,0.12012,0.02736,2.68783,2.86008,0.02457,0.00128192,0.00128192,0.00128192
37,1260.84,1.27478,1.67715,0.00479,0.14739,0.33374,0.11959,0.02849,2.61388,2.77589,0.02271,0.00127092,0.00127092,0.00127092
38,1294.87,1.23584,1.66631,0.00473,0.21338,0.32056,0.16435,0.04237,2.56618,2.96004,0.02151,0.00125992,0.00125992,0.00125992
39,1328.91,1.23481,1.66697,0.00465,0.21944,0.33512,0.18599,0.04442,2.45339,2.65357,0.02149,0.00124892,0.00124892,0.00124892
40,1362.96,1.24557,1.62331,0.0046,0.21814,0.35578,0.1625,0.03768,2.59469,2.59074,0.02286,0.00123791,0.00123791,0.00123791
41,1397.01,1.23861,1.61584,0.00466,0.20253,0.37475,0.15869,0.03537,2.65058,2.47342,0.02399,0.00122691,0.00122691,0.00122691
42,1431.06,1.21652,1.59096,0.00453,0.13659,0.24351,0.08998,0.01881,2.63755,2.89379,0.02347,0.00121591,0.00121591,0.00121591
43,1465.08,1.2163,1.60528,0.00455,0.20112,0.31615,0.1455,0.03435,2.67996,2.60785,0.02485,0.00120491,0.00120491,0.00120491
44,1499.17,1.24359,1.60575,0.00468,0.18213,0.41643,0.15366,0.03699,2.75004,2.74078,0.02413,0.00119391,0.00119391,0.00119391
45,1533.23,1.20469,1.59355,0.00447,0.15522,0.33336,0.13448,0.02901,2.74686,2.69714,0.02484,0.0011829,0.0011829,0.0011829
