epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1450.62,0.3387,0.184,0.0011,0.97171,0.90048,0.96243,0.88291,0.45463,0.34325,0.00231,0.0014588,0.0014588,0.0014588
43,1485.51,0.33609,0.17022,0.00108,0.92408,0.89246,0.95382,0.8896,0.43681,0.37284,0.00234,0.0014456,0.0014456,0.0014456
44,1521.66,0.32767,0.16887,0.00106,0.8634,0.85072,0.90788,0.77419,0.62827,0.57643,0.00336,0.0014324,0.0014324,0.0014324
45,1556.57,0.33306,0.1702,0.00106,0.96043,0.91172,0.9714,0.91305,0.3868,0.30015,0.00202,0.0014192,0.0014192,0.0014192
46,1591.4,0.3232,0.15962,0.00101,0.92844,0.91628,0.9599,0.89867,0.4028,0.35839,0.00208,0.001406,0.001406,0.001406
47,1625.51,0.33718,0.16233,0.00109,0.95437,0.91653,0.96546,0.88549,0.45342,0.32411,0.00232,0.0013928,0.0013928,0.0013928
48,1659.9,0.33971,0.16424,0.00107,0.95455,0.91172,0.96247,0.89662,0.41269,0.3625,0.00219,0.0013796,0.0013796,0.0013796
49,1693.97,0.32645,0.16672,0.00105,0.95162,0.91565,0.9642,0.89928,0.40457,0.34837,0.00213,0.0013664,0.0013664,0.0013664
50,1727.5,0.34538,0.16312,0.00115,0.94915,0.9069,0.95968,0.87428,0.46878,0.38705,0.00251,0.0013532,0.0013532,0.0013532
51,1760.96,0.32415,0.16407,0.00105,0.88353,0.88925,0.94527,0.84078,0.52858,0.46414,0.00285,0.00134,0.00134,0.00134
52,1794.43,0.32383,0.16212,0.00102,0.94653,0.90369,0.95938,0.8681,0.48895,0.35543,0.00266,0.0013268,0.0013268,0.0013268
53,1828.36,0.30574,0.15819,0.00098,0.90262,0.8927,0.94274,0.8519,0.49294,0.42363,0.00261,0.0013136,0.0013136,0.0013136
54,1863.4,0.31847,0.15121,0.001,0.90692,0.85554,0.91676,0.77276,0.6501,0.55472,0.00359,0.0013004,0.0013004,0.0013004
55,1897.48,0.31974,0.16012,0.001,0.92362,0.90209,0.95797,0.88455,0.45579,0.36126,0.00245,0.0012872,0.0012872,0.0012872
56,1931.87,0.31582,0.15911,0.00099,0.89931,0.93184,0.95846,0.8832,0.4427,0.37631,0.00235,0.001274,0.001274,0.001274
57,1966.31,0.30684,0.15831,0.00095,0.88892,0.87961,0.92055,0.80304,0.6125,0.49966,0.00335,0.0012608,0.0012608,0.0012608
58,2000.8,0.32001,0.16286,0.001,0.93761,0.89248,0.94834,0.85543,0.50799,0.40058,0.00278,0.0012476,0.0012476,0.0012476
59,2035.03,0.30562,0.15439,0.00097,0.92878,0.90004,0.94932,0.85287,0.5387,0.3885,0.003,0.0012344,0.0012344,0.0012344
60,2069.52,0.31298,0.15418,0.001,0.91458,0.87647,0.91897,0.80897,0.58405,0.53516,0.00318,0.0012212,0.0012212,0.0012212
61,2103.44,0.30888,0.14699,0.00099,0.87534,0.86838,0.92008,0.82003,0.54821,0.51892,0.00291,0.001208,0.001208,0.001208
62,2137.31,0.30802,0.14293,0.00098,0.89157,0.91011,0.94007,0.87494,0.44683,0.3906,0.00239,0.0011948,0.0011948,0.0011948
63,2172.83,0.29648,0.14466,0.00094,0.85497,0.91786,0.91937,0.80732,0.59566,0.51137,0.00321,0.0011816,0.0011816,0.0011816
64,2207.2,0.31156,0.14352,0.00099,0.86821,0.83535,0.88653,0.73641,0.70879,0.75189,0.004,0.0011684,0.0011684,0.0011684
65,2241.97,0.29737,0.13606,0.00094,0.90612,0.87319,0.91696,0.79595,0.61186,0.57415,0.00334,0.0011552,0.0011552,0.0011552
